subj_id,PROLIFIC_PID,nonpretend,judge,pretend,points,bonus
119,60bff9298f56d55c8ecd9adf,69,40,20,129,1
120,5d612ae16512d700159face7,61,30,NA,NA,NA
121,56ec9fa4f9ffc4000ac1941b,56,20,20,96,0
122,5e84bd7c34d5d9072128fac1,69,20,NA,NA,NA
123,559744acfdf99b590e1e9299,57,10,20,87,0
124,56435b83942576000a66eb5d,60,20,0,80,0
125,5a381de00006450001bf2691,60,30,10,100,1
126,5b954f10754b700001f06bf0,65,30,30,125,1
127,60de09f7dc5304e0c0f19485,60,20,20,100,1
129,615f2b3f0eafbabe579b889a,58,30,20,108,1
130,6095fc75ab1d101e060d808b,67,40,10,117,1
132,610cb2e82784ac6af6469fc5,70,30,20,120,1
133,6111234ac8cfa49e38acbfb4,69,20,10,99,0
134,60f838095603e27ca51820a7,67,20,10,97,0
136,5ff5f7ad932d56101bf7c90d,69,30,20,119,1
137,5b666901f7798c000182c01c,65,30,10,105,1
138,600c63a5dfb7171357a02440,51,40,30,121,1
139,56259489ed6e5a0005c80fde,61,50,20,131,1
139,5d07ce1342a8400018a27494,70,50,20,140,1
140,5a8b1ee2000dab00018cc7cd,67,20,0,87,0
141,62852880d0adbe3f66b92efc,71,30,NA,NA,NA
142,5ade0203066c510001d42abf,66,20,10,96,0
143,5d8e258e7a33770016980d2b,72,10,10,92,0
144,60fba5becb0e782745f2c39c,70,10,10,90,0
145,60a55d4bb6bd9be6c95b89eb,61,30,NA,NA,NA
146,5bc9f8b677740000016a08b5,65,30,20,115,1
147,5ffe4c2a8f29264fb8cdd577,45,40,20,105,1
148,5ddd92855daaa6d095854780,69,30,NA,NA,NA
149,60f6e30863cdeb849cbeb338,63,30,10,103,1
150,6151e479b4ee16668948c7f2,66,40,20,126,1
153,5c40e7d99d27f00001159a65,58,50,30,138,1
153,5aa44687dbdb470001ef463f,54,50,30,134,1
154,629e3f2e7aa7065ffef94278,68,20,30,118,1
155,5eb02a40b17a8c0868685d32,71,30,NA,NA,NA
156,565bdfcec121fe0012fc3897,65,40,10,115,1
157,5d8a64630ffb9c001746ca2c,34,20,10,64,0
158,5b70ed4b99982e000145eb7b,61,40,40,141,1
